ID	Slug FR	Titre FR	Slug EN	Titre EN
101	amaretto-sour	Amaretto Sour Facile	amaretto-sour	Easy Amaretto Sour
11	bortsch	Authentique Soupe Bortsch Ukrainien	borscht	Authentic Ukrainian Borscht
108	recette-biscuit-pepite-chocolat	Biscuit Moelleux aux Pépites de Chocolat – Facile et Délicieux à Réaliser	chocolate-chip-cookies	Soft Chocolate Chip Cookies - Easy and Delicious to Make
85	biscuits-chocolat-moelleux	Biscuits au Chocolat Moelleux	soft-chocolate-cookies	Soft Chocolate Cookies
125	biscuits-beurre-arachides	Biscuits beurre d'arachides	peanut-butter-cookies	Butter Peanut Cookies
103	blanc-manger-traditionnel	Blanc Manger Traditionnel : Recette facile et savoureuse	traditional-blancmange	Traditional Blanc Manger Recipe : Easy and Delicious
9	ble-d-inde	Blé d’Inde cuit dans l’eau et du lait	corn-on-the-cob	Cooked Indian Corn in Water and Milk
124	boeuf-wellington	Boeuf Wellington	homemade-oven-baked-beef-wellington	Homemade Oven-baked Beef Wellington
129	bouchees-a-lerable	Bouchées à l'érable	homemade-maple-bites	Homemade Maple Bites
143	bouillon-soupe-won-ton	Bouillon soupe Won-Ton facile à faire	wonton-soup-broth	Easy to Make Won-Ton Soup Broth
150	brownies	Brownies Dulce: Un Délice Chocolaté à Tomber	brownies	Brownies Dulce: A Decadent Chocolate Delight to Fall For
93	bruschetta	Bruschetta Classique – Fraîche & Savoureuse	bruschetta	Classic Bruschetta – Fresh & Savory
86	bubble-tea-maison	Bubble Tea Maison : Comment Préparer un Bubble Tea Délicieux chez Vous	homemade-delicious-bubble-tea-at-home	Homemade Delicious Bubble Tea at Home
71	burger-vegetarien-au-steak-de-haricots	Burger végétarien aux haricots rouges	vegetarian-bean-burger	Vegetarian Red Bean Burger
47	cannellonis-au-veau-gratines	Cannellonis au veau gratinés	veal-cannelloni-gratin	Grilled Veal Cannellonis
105	caramel-frappuccino-starbucks-maison	Caramel Frappuccino Starbucks Maison	homemade-caramel-frappuccino-starbucks	Homemade Caramel Frappuccino (Starbucks)
98	carbonara	Carbonara pates : la recette traditionnelle italienne	carbonara-pasta	Carbonara Pasta: The Traditional Italian Recipe
144	carres-aux-framboises	Carrés aux framboises et à la noix de coco	raspberry-squares	Squares with strawberries and coconut
126	casserole-a-dejeuner	Casserole à déjeuner à la cochon	breakfast-casserole	Breakfast Casserole with Pork
155	ceviche-peruvien	Ceviche Peruvien une véritable fraicheur et saveurs de l'océan	peruvian-ceviche	Authentic Peruvian Ceviche - A True Ocean Freshness and Flavors
3	champignons-balsamique	Champignons sautés au balsamique : recette gourmande à essayer	balsamic-mushrooms	Sautéed Mushrooms in Balsamic Vinegar: A Tasty Recipe to Try
2	chili-con-carne-traditionnel	Chili con carne recette traditionnelle mexicaine	traditional-chili-con-carne	Traditional Mexican Chili con Carne Recipe
91	chocolat-chaud	Chocolat Chaud Maison : Un Délice Gourmand et Réconfortant	hot-chocolate	Homemade Hot Chocolate: A Rich and Comforting Delight
24	coquilles-saint-jacques	Coquilles Saint-Jacques	homemade-oven-baked-scallops	Homemade Oven-baked Scallops
16	cotelette-de-porc-bbq	Côtelettes de Porc sur le BBQ	bbq-pork-chops	Pork Chops on the Grill
66	couscous-vegetarien	Couscous végétarien aux pois chiches	vegetarian-couscous	Vegetarian Couscous with Chickpeas
135	cremage-pour-les-gateaux-de-fete	Crêmage pour les gâteaux de fête	homemade-frosting-for-party-cakes	Homemade Frosting for Party Cakes
142	creme-de-champignons-2	Crème de champignons et aux patates	cream-of-mushroom-soup-2	Cream of Mushrooms and Potatoes
128	creme-de-champignons	Crème de champignons et aux patates	cream-of-mushroom-soup	Cream of Mushrooms and Potatoes
131	crepe-allemande-pfannkuchen	Crêpe allemande : Pfannkuchen	german-pancake	German Pancake : Pfannkuchen
1	crepe-proteinee	Crêpe Protéinée : Recette Santé Riche en Protéines	protein-pancake	Protein Pancake Recipe: Healthy High-Protein Recipe
2127	crepes-maison-recette-de-base	Crêpes de base faciles (pâte à crêpes maison)	homemade-crepes-easy-base-recipe	Easy Basic Crepes (Classic Homemade Batter)
138	crepes-minces	Crêpes Minces: Délicieuses Crêpes Légères	thin-crepes	Thin Crepes: Delicious Light Crepes
130	croissants-aux-amandes	Croissants aux amandes	almond-croissants	Almond Croissants
40	croustade-aux-pommes-2	Croustade aux pommes (Facile)	apple-crisp-2	Apple Crostada (Easy)
151	cube-de-boeuf-a-la-mijoteuse	Cube de Boeuf Mijoteuse	slow-cooker-beef-cubes	Beef Cube Stew
154	cupcakes-au-chocolat	Cupcakes au chocolat – Délicieux en s'en mordre les doigts	chocolate-cupcakes	Chocolate Cupcakes - Delicious to Bite Fingers
76	curry-de-pois-chiches-et-lait-de-coco	Curry de pois chiches et lait de coco	chickpea-coconut-curry	Chickpea Curry and Coconut Milk
104	queue-de-castor-maison	Délicieuse de Queue de Castor maison	homemade-beaver-tail	Delicious Homemade BeaverTail
32	deluxe-potatoes-mcdo	Deluxe Potatoes au Four comme au McDo	homemade-mcdonalds-style-oven-baked-potatoes	Homemade McDonald's Style Oven-baked Potatoes
2134	dinde-rotie-farcie-sauce-canneberges	Dinde rôtie farcie & sauce aux canneberges maison	stuffed-roast-turkey-cranberry-sauce	Dinde rôtie farcie & sauce aux canneberges maison
23	doigts-de-poulet-croustillants	Doigts de poulet croustillants au parmesan et chapelure	crispy-chicken-fingers	Crispy Parmesan and Panko Chicken Fingers
17	dumplings-au-poulet	Dumplings au Poulet	chicken-dumplings	Chicken Dumplings
141	recette-de-fajitas	Fajitas Mexicaines Savoureuses	fajitas	Delicious Mexican Fajitas
68	falafels-au-four	Falafels au four et sauce tahini	baked-falafels	Oven-baked Falafels and Tahini Sauce
53	feves-au-lard	Fèves au Lard Maison Traditionnelles	baked-beans	Traditional Quebec-Style Baked Beans
55	filet-de-porc	Filet de porc au four	pork-tenderloin	Roasted Pork Loin
136	galette-a-la-melasse	Galette à la mélasse de la famille Bilodeau 1971	molasses-cookie-of-the-bilodeau-family-1971	Molasses Cookie of the Bilodeau Family 1971
133	gateau-a-lorange	Gâteau à l'orange	orange-cake	Orange Cake
118	gateau-aux-pommes-moelleux	Gâteau aux pommes moelleux	soft-apple-cake	Soft Apple Cake
112	gateau-aux-pommes-traditionnel	Gâteau aux Pommes Traditionnel : Recette Moelleuse et Facile	traditional-apple-cake	Traditional Apple Cake Recipe: Moist and Easy
132	gateau-dans-une-tasse	Gâteau dans une tasse : astuces et conseils incontournables	mug-cake	Cake in a Mug: Essential Tips and Tricks
123	gateau-roule	Gâteau Roulé : Un Délice Facile à Réaliser	swiss-roll	Rolled Cake: An Easy Delight to Make
46	gateau-roule-moelleux	Gâteau roulé moelleux : recette maman Bilodeau	soft-swiss-roll	Rolled Cake Recipe: maman Bilodeau's Soft Rolled Cake
44	gaufre-belge	Gaufre belge au yogourt grec, miel et noix (Délicieux)	belgian-waffle	Belgian waffle with Greek yogurt, honey and nuts (Delicious)
88	gaufres-maison	Gaufres Maison : Moelleuses et Gourmandes	homemade-waffles	Homemade Waffles: Soft and Delicious
69	gratin-de-chou-fleur	Gratin de chou-fleur et pommes de terre	cauliflower-gratin	Cauliflower and Potato Gratin
33	guacamole	Guacamole Maison Rapide (Prêt en 5 Minutes)	guacamole	Quick Homemade Guacamole (Ready in 5 Minutes)
49	jambon-a-la-biere-a-la-mijoteuse	Jambon à la bière à la mijoteuse	slow-cooker-beer-ham	Beer-Braised Ham in a Slow Cooker
81	jambon-a-la-mijoteuse	Jambon à la mijoteuse – Tendre et savoureux	slow-cooker-ham	Tender and Savory Ham Cooked Slowly in a Crockpot
2137	jambon-glace-a-lerable	Jambon glacé à l’érable	maple-glazed-ham	Jambon glacé à l’érable
15	ketchup-maison	Ketchup Maison (Grand-Mère Bilodeau)	homemade-ketchup	Homemade Ketchup (Grand-Mère Bilodeau)
77	lasagnes-aux-legumes-et-ricotta	Lasagnes aux légumes et ricotta	vegetable-ricotta-lasagna	Lasagnes with Vegetables and Ricotta
25	macaroni-chinois	Macaroni Chinois Maison	homemade-chinese-macaroni	Homemade Chinese Macaroni
22	mayonnaise-maison	Mayonnaise Maison	homemade-mayonnaise	Homemade Mayonnaise
31	meringue	Meringue – Facile à faire	meringue	Meringue - Easy to Make
106	miche-de-pain	Miche de Pain Maison Moelleux et Doré	bread-loaf	Homemade Soft and Golden Bread Loaf
109	morue-au-four	Morue au Four : La Meilleure et la plus Savoureuse	baked-cod	Baked Cod: The Best and Most Flavorful
35	mozza-burger	Mozza Burger Maison (Style A&W)	homemade-mozza-burger-style-aw	Homemade Mozza Burger (Style A&W)
2131	muffins-a-la-banane-moelleux	Muffins à la banane moelleux et faciles	banana-muffins	Moist Banana Muffins
84	muffins-chocolat-banane	Muffins Chocolat Banane Santé (Délicieux et Sains)	chocolate-banana-muffins	Healthy Chocolate Banana Muffins (Delicious and Nutritious)
96	nachos-maison	Nachos Maison : Facile et Savoureuse	homemade-nachos	Nachos House: Easy and Savory
8	nigiri-au-saumon	Nigiri au saumon – Recette japonaise authentique	salmon-nigiri	Nigiri with Salmon – Authentic Japanese Recipe
149	omelette-au-four	Omelette au Four à la Cabane à Sucre	sugar-shack-style-baked-omelette	Sugar Shack Style Baked Omelette
148	orange-julep	Orange Julep Maison – La Magie de Montréal à la Maison	homemade-orange-julep-the-magic-of-montreal-at-home	Homemade Orange Julep - The Magic of Montreal at Home
43	pain-aux-bananes	Pain aux bananes	banana-bread	Banana Bread
121	pain-de-viande-vegetarien	Pain de « Viande » Végétarien	vegetarian-meatloaf	Vegetarian Meatloaf
122	pain-de-viande-mijoteuse	Pain de viande Mijoteuse	slow-cooker-meatloaf	Meatloaf Mijoteuse
18	pain-dore	Pain doré maison moelleux et savoureux	french-toast	Golden Bread (French Toast) - Homemade Soft and Savory
38	pain-naan-au-boeuf	Pain naan au boeuf (style sous-marin)	beef-naan-bread	Beef Naan Bread (Submarine Style)
114	pain-naan-tartine-de-caramel-sale	Pain Naan tartiné de Caramel Salé avec des Fruits et des pacanes	salted-caramel-naan-toast	Grilled Naan Bread Spread with Salted Caramel, Fruits and Pecans
87	patates-au-four-slopppy-joe	Patates au Four Garnies au Sloppy Joe et Fromage	sloppy-joe-baked-potatoes	Baked Potatoes Stuffed with Sloppy Joe and Cheese
19	pate-a-pizza	Pâte à Pizza Maison	pizza-dough	Homemade Pizza Dough
134	pate-a-tarte	Pâte à Tarte 1969 : Facile et Rapide	homemade-easy-and-quick-pie-dough-1969	Homemade Easy and Quick Pie Dough 1969
58	pate-au-poulet	Paté au poulet	chicken-pot-pie	Chicken Pate
2133	pate-au-poulet-traditionnel	Pâté au poulet traditionnel québécois	chicken-pot-pie-quebec-style	Quebec-Style Chicken Pot Pie
119	pate-au-saumon	Pâte au saumon	salmon-pie	Salmon Pasta
20	pate-chinois-traditionnel	Pâté Chinois Traditionnel	shepherds-pie	Traditional Shepherd's Pie
67	pates-a-la-creme-avocat	Pâtes à la crème d'avocat	avocado-cream-pasta	Pasta with Creamy Avocado Sauce
51	pain-gumbo	Petit Pain Gumbo Traditionnel Revisité	gumbo-bread	Revised Traditional Cajun-Inspired Gumbo Bread
94	petites-patates-aux-champignons-et-beurre-a-lail	Petites Patates aux Champignons et Beurre à l'Ail	garlic-butter-mushroom-potatoes	Little Potatoes with Mushrooms and Garlic Butter
28	pithiviers-feuillete	Pithiviers feuilleté	pithivier-pastry	Flaky Pithiviers
70	pizza-aux-legumes	Pizza aux légumes grillés et mozzarella	vegetable-pizza	Grilled Vegetable and Mozzarella Pizza
52	poitrine-de-poulet-a-lair-fryer	Poitrine de Poulet à l’Air Fryer	air-fryer-chicken-breast	Chicken Breast in Air Fryer
41	poitrine-de-poulet-au-four	Poitrine de poulet au four (Délicieux)	baked-chicken-breast	Oven-Baked Chicken Breast (Delicious)
80	poutrine-de-poulet-pommes	Poitrine de Poulet aux Pommes, Prosciutto et Fromage	apple-chicken-breast	Chicken Breast with Apples, Prosciutto and Cheese
116	poitrine-poulet-mijoteuse	Poitrine Poulet Mijoteuse Crème Champignon	slow-cooker-chicken-breast	Slow-Cooked Chicken Breast Cream Mushroom Recipe
146	poivrons-farcis-bacon	Poivrons farcis de boeuf, peperoni et bacon	bacon-stuffed-peppers	Stuffed Bell Peppers with Beef, Pepperoni and Bacon
156	potage-aux-asperges	Potage aux Asperges	asparagus-soup	Soup with Fresh Asparagus
2132	potage-aux-carottes-onctueux	Potage aux carottes onctueux et réconfortant	carrot-soup	Creamy Carrot Soup
79	potage-aux-poireaux	Potage aux poireaux onctueux et savoureux	leek-soup	Oniony and Savory Leek Soup
115	potage-carotte-patate-douce	Potage Carotte Patate Douce	carrot-sweet-potato-soup	Carrot Sweet Potato Soup
117	potage-de-courge-butternut	Potage de Courge Butternut	butternut-squash-soup	Butternut Squash Soup
30	poulet-au-curry	Poulet au curry	curry-chicken	Chicken Curry
62	poulet-au-lait-de-coco	Poulet au lait de coco	coconut-chicken	Chicken in Coconut Milk
95	poulet-aux-canneberges	Poulet aux canneberges	cranberry-chicken	Chicken with Cranberries
64	poulet-barbecue	Poulet BBQ Parfait	barbecue-chicken	Perfect BBQ Chicken
14	poulet-chorizo-cremeux	Poulet et chorizo crémeux au basilic et citron	creamy-chorizo-chicken	Creamy Chicken and Chorizo with Basil and Lemon
99	poulet-general-tao	Poulet Général Tao Maison facile et rapide	general-tao-chicken	Homemade General Tao Chicken Easy and Quick
10	poulet-mole	Poulet Mole (Mole Poblano Mexicain)	chicken-mole	Chicken Mole (Mexican Mole Poblano)
83	poutine-mexicaine	Poutine mexicaine épicée	mexican-poutine	Spicy Mexican Poutine
82	quesadillas-au-poulet	Quesadillas au poulet et fromage en grain	chicken-quesadillas	Chicken and Cheese Grain Quesadillas
37	ramen-au-poulet	Ramen au poulet, champignons et œuf coulant	chicken-ramen	Ramen with Chicken, Mushrooms and Running Egg
56	crepe-traditionnelle	Recette Crêpe Traditionnelle Facile	traditional-crepe	Traditional Homemade Crepe Recipe
50	pouding-aux-bleuets	Recette de pouding aux bleuets maison facile	blueberry-pudding	Recipe for Blueberry Pudding at Home Easy
90	pain-de-viande	Recette Pain de Viande : Un Plat Savoureux et Réconfortant	meatloaf	Recipe for Meatloaf: A Savory and Comforting Dish
111	relish-maison	Relish Maison Rapide : L'Inoubliable Condiment Facile	homemade-relish	Quick Homemade Relish : The Unforgettable Easy Condiment
102	rice-krispies	Rice Krispies	rice-krispies	Timeless Delight: Rice Krispies
75	risotto-aux-champignons-cremeux	Risotto aux champignons crémeux	creamy-mushroom-risotto	Creamy Mushroom Risotto
120	riz-basmati-epice-et-parfume	Riz Basmati Épicé et Parfumé	spiced-basmati-rice	Spiced and Fragrant Basmati Rice
54	roti-de-palette	Rôti de palette à la dijon et ail	blade-roast	Roast Pork Shoulder with Dijon and Garlic
2136	roti-de-porc-ail-romarin	Rôti de porc à l’ail et au romarin	garlic-rosemary-pork-roast	Rôti de porc à l’ail et au romarin
36	salade-cesar-poulet-bbq	Salade César au Poulet BBQ – Un délice!	homemade-bbq-chicken-caesar-salad-a-delight	Homemade BBQ Chicken Caesar Salad - A Delight!
57	salade-de-brocoli	Salade de brocoli	broccoli-salad	Broccoli Salad
21	salade-de-chou-rouge	Salade de chou rouge croquante	red-cabbage-slaw	Crisp Red Cabbage Salad
4	salade-de-cocombre	Salade de cocombre maison : la recette idéale	cucumber-salad	Easy recipe for cucumber salad: the ideal recipe
7	salade-de-kale-aux-raisins	Salade de kale aux raisins	kale-grape-salad	Kale Salad with Raisins
6	salade-de-macaroni-maman	Salade de Macaroni (version maman Ginette Bilodeau)	moms-macaroni-salad	Salad of Macaroni (version maman Ginette Bilodeau)
60	salade-de-macaroni-jambon	Salade de macaroni jambon	ham-macaroni-salad	Macaroni Ham Salad
74	salade-de-quinoa	Salade de quinoa et légumes croquants	quinoa-salad	Quinoa and Crunchy Vegetable Salad
137	salade-grecque-delicieuse	Salade Grecque délicieuse	greek-salad	Delicious Greek Salad
145	sandwitch-de-poulet-pesto	Sandwitch de Poulet Pesto	pesto-chicken-sandwich	Chicken Pesto Sandwich
45	sauce-bbq-maison	Sauce Barbecue Maison Facile et Rapide	homemade-bbq-sauce	Easy and Quick Homemade Barbecue Sauce
110	sauce-bechamel	Sauce béchamel facile et traditionnelle.	easy-and-traditional-homemade-bechamel-sauce	Easy and Traditional Homemade Béchamel Sauce
34	sauce-cremeuse-a-la-lime	Sauce crémeuse à la lime	creamy-lime-sauce	Creamy Lime Sauce
107	sauce-piquante-habanero	Sauce Piquante Habanero Maison : Facile pour Crevettes	habanero-hot-sauce	Homemade Spicy Habanero Sauce: Easy for Shrimp
13	sauce-pizza-maison	Sauce Pizza Maison – Recette simple avec tomates du jardin	homemade-pizza-sauce	Homemade Pizza Sauce Recipe - Simple with Garden Tomatoes
92	saucisses-dans-le-sirop	Saucisses dans le sirop – Saveur cabane à sucre	sausages-in-maple-syrup	Sausages in Maple Syrup – Cabin Sugar Flavor
63	saumon-a-la-creme	Saumon à la crème	creamy-salmon	Salmon in Cream
5	sloppy-joe	Sloppy Joe Recette Maison (boeuf ou porc haché)	sloppy-joe	Sloppy Joe Home-made Recipe (beef or pork ground)
27	smash-burgers	Smash Burgers Maison	smash-burgers	Smash Burgers House Style
153	soupe-a-loignon-francaise	Soupe à l'oignon française maison – Simple et délicieuse	french-onion-soup	French Onion Soup at Home - Simple and Delicious
97	soupe-au-chou	Soupe au chou : la recette traditionnelle et savoureuse	cabbage-soup	Traditional and Flavorful Cabbage Soup
100	soupe-aux-legumes	Soupe aux légumes facile – Un classique réconfortant	vegetable-soup	Easy Vegetable Soup – A Comforting Classic
61	soupe-aux-pois	Soupe aux pois	pea-soup	Pea Soup
139	soupe-aux-pois-mijoteuse	Soupe aux Pois à la Mijoteuse	slow-cooker-pea-soup	Pea Soup with Ham Hock
73	soupe-de-lentilles-corail-epicee	Soupe de lentilles corail épicée	spicy-red-lentil-soup	Spiced Coral Lentil Soup
12	soupe-de-tomates-roties	Soupe de Tomates Rôties	roasted-tomato-soup	Roasted Tomato Soup
152	soupe-minestrone	Soupe Minestrone Traditionnelle Italienne	minestrone-soup	Traditional Italian Minestrone Soup
59	soupe-poulet-et-nouilles	Soupe poulet et nouilles	chicken-noodle-soup	Chicken and Noodle Soup
65	soupe-won-ton	Soupe won ton	wonton-soup	Wonton Soup
26	sucre-d-orge	Sucre d'orge maison	candy-cane	Homemade Caramel Corn Syrup
72	tarte-aux-legumes-du-soleil	Tarte aux légumes du soleil	summer-vegetable-tart	Sun-Kissed Vegetable Tart
127	tarte-de-noel	Tarte de Noël	christmas-pie	Christmas Tart
48	tartelettes-aux-pommes	Tartelettes aux pommes maison	apple-tarts	Homemade Apple Tartlettes
2135	tourtiere-du-quebec-porc-boeuf	Tourtière du Québec traditionnelle au porc et au bœuf	quebec-pork-beef-tourtiere	Tourtière du Québec traditionnelle au porc et au bœuf
78	tourtiere-quebecoise	Tourtière Québécoise	quebec-meat-pie	Québécois Pie
113	croustade-aux-pommes	Traditionnelle de Croustade aux Pommes	apple-crisp	Traditional Apple Crostade
140	rwandaise-brochettes-de-viandes-grillees	Traditionnelle Rwandaise : Brochettes de viandes grillées	rwandan-grilled-meat-skewers	Traditional Rwandan: Grilled Meat Skewers
29	trempette-fromage-a-la-creme	Trempette (Fromage à la crème, légumes & Salsa)	homemade-creamy-dip-veggies-salsa	Homemade Creamy Dip (Veggies & Salsa)
39	trempette-au-ketchup	Trempette au Ketchup (Délicieux)	ketchup-dip	Delicious Ketchup Dip
89	trempette-aux-epinards	Trempette aux Épinards : Crémeuse et Savoureuse	spinach-dip	Spinach Dip: Creamy and Savory
147	gateau-blanc-facile	Une belle recette de gâteau blanc facile de Maman 1967	easy-white-cake	Beautiful Easy Homemade White Cake Recipe by Maman 1967
42	vol-au-vent	Vol-au-Vent au Poulet	chicken-in-vol-au-vent-pastry	Chicken in Vol-au-Vent Pastry
